fecha_venta,producto_id,categoria_producto,cantidad_vendida,precio_venta_unitario,cliente_id,canal_venta
2023-12-15,P8,hilo,280,0.53,C127,tienda física
2024-07-29,P3,tela,152,21.7,C130,tienda física
2025-02-10,P11,cierres,293,19.43,C116,distribuidor
2023-06-24,P12,cierres,90,24.62,C170,tienda física
2025-01-13,P3,tela,279,13.31,C61,tienda física
2025-05-08,P1,tela,125,22.43,C136,distribuidor
2025-02-01,P14,encaje,55,15.79,C31,tienda física
2025-02-17,P8,hilo,83,21.8,C106,online
2025-01-18,P7,botón,180,20.32,C104,online
2024-08-20,P13,encaje,100,16.16,C200,online
2023-11-14,P4,tela,71,7.61,C1,online
2023-08-24,P4,tela,68,25.59,C21,online
2023-06-25,P2,tela,223,24.15,C154,distribuidor
2023-08-24,P13,encaje,176,19.93,C65,distribuidor
2024-06-20,P1,tela,160,12.55,C175,online
2024-04-11,P14,encaje,204,6.74,C67,tienda física
2023-08-10,P3,tela,204,9.05,C55,tienda física
2024-10-13,P14,encaje,260,7.33,C128,online
2024-09-25,P12,cierres,147,7.63,C160,tienda física
2024-09-07,P4,tela,289,23.49,C125,distribuidor
2025-05-17,P13,encaje,57,18.71,C71,tienda física
2024-02-17,P2,tela,18,17.91,C57,tienda física
2023-11-07,P8,hilo,30,12.87,C7,tienda física
2024-03-22,P4,tela,142,4.76,C162,tienda física
2024-03-11,P9,hilo,160,10.16,C171,online
2023-12-22,P12,cierres,163,15.87,C193,tienda física
2023-09-17,P10,hilo,90,10.4,C188,online
2024-06-15,P14,encaje,146,1.78,C106,tienda física
2024-03-29,P4,tela,44,6.02,C17,tienda física
2023-10-30,P3,tela,200,10.95,C126,online
2024-02-03,P4,tela,155,27.05,C89,online
2024-09-07,P8,hilo,26,11.98,C93,tienda física
2024-09-19,P12,cierres,179,28.86,C108,online
2024-11-12,P8,hilo,196,6.05,C27,tienda física
2024-07-24,P2,tela,158,12.14,C64,distribuidor
2024-11-11,P8,hilo,44,25.48,C97,distribuidor
2024-02-13,P5,botón,151,14.99,C13,online
2024-12-29,P12,cierres,214,2.02,C65,online
2023-09-09,P3,tela,97,9.18,C192,distribuidor
2024-04-15,P11,cierres,29,23.73,C37,tienda física
2025-04-27,P9,hilo,81,29.37,C39,distribuidor
2024-02-04,P7,botón,112,9.34,C164,online
2024-06-30,P6,botón,157,1.16,C112,tienda física
2025-01-30,P11,cierres,246,17.68,C17,distribuidor
2024-10-29,P3,tela,95,28.55,C106,online
2025-02-24,P7,botón,112,29.97,C170,distribuidor
2023-12-06,P13,encaje,166,3.55,C135,distribuidor
2023-12-14,P3,tela,58,12.44,C107,distribuidor
2023-09-29,P8,hilo,280,27.23,C140,tienda física
2024-03-14,P9,hilo,98,25.95,C93,online
2023-09-05,P4,tela,298,13.42,C132,distribuidor
2025-04-18,P7,botón,45,10.04,C53,tienda física
2024-03-31,P14,encaje,214,13.38,C176,online
2024-11-24,P12,cierres,191,16.63,C25,distribuidor
2024-03-07,P10,hilo,215,3.71,C26,tienda física
2024-04-27,P9,hilo,115,1.03,C112,distribuidor
2024-10-20,P6,botón,197,12.03,C143,tienda física
2024-01-24,P14,encaje,196,11.66,C2,tienda física
2024-04-23,P9,hilo,35,16.56,C19,distribuidor
2025-03-19,P13,encaje,32,17.85,C153,online
2024-10-03,P11,cierres,6,19.12,C109,online
2025-04-30,P14,encaje,295,15.74,C126,online
2023-08-25,P8,hilo,162,28.42,C149,tienda física
2024-10-24,P12,cierres,244,8.64,C128,tienda física
2024-10-17,P6,botón,86,26.25,C58,distribuidor
2024-09-28,P8,hilo,80,3.63,C71,distribuidor
2025-03-11,P2,tela,233,24.18,C11,tienda física
2024-04-03,P5,botón,128,5.88,C59,distribuidor
2024-11-03,P3,tela,119,0.28,C168,distribuidor
2024-06-07,P4,tela,228,21.46,C139,tienda física
2024-06-05,P10,hilo,245,1.13,C70,tienda física
2023-12-11,P14,encaje,280,4.27,C92,distribuidor
2024-01-27,P14,encaje,130,22.0,C54,online
2024-06-17,P14,encaje,134,6.39,C129,online
2025-03-09,P2,tela,47,0.59,C113,online
2025-02-16,P9,hilo,42,3.55,C167,distribuidor
2024-03-29,P2,tela,251,10.01,C87,tienda física
2024-08-11,P6,botón,1,8.4,C8,distribuidor
2024-08-06,P6,botón,118,21.75,C41,online
2023-10-23,P9,hilo,226,11.76,C174,online
2024-09-24,P11,cierres,61,15.77,C1,distribuidor
2024-01-20,P6,botón,112,19.71,C96,distribuidor
2024-12-18,P13,encaje,194,27.73,C112,tienda física
2025-03-06,P8,hilo,57,28.06,C101,tienda física
2024-01-26,P14,encaje,92,26.29,C55,tienda física
2023-08-12,P10,hilo,284,15.54,C151,distribuidor
2025-05-17,P8,hilo,196,12.09,C103,tienda física
2023-12-18,P8,hilo,40,4.71,C3,online
2025-05-10,P14,encaje,25,1.9,C185,distribuidor
2024-12-13,P8,hilo,163,5.99,C188,online
2024-08-06,P7,botón,77,19.59,C164,tienda física
2024-05-07,P7,botón,141,18.49,C156,online
2024-06-18,P6,botón,277,3.62,C98,online
2024-09-10,P14,encaje,71,11.95,C27,tienda física
2024-01-26,P7,botón,169,2.12,C64,tienda física
2024-01-02,P4,tela,244,0.46,C181,distribuidor
2025-05-22,P14,encaje,300,22.41,C62,tienda física
2025-04-03,P3,tela,278,12.57,C192,online
2023-12-09,P1,tela,101,12.59,C127,distribuidor
2024-05-20,P7,botón,69,24.22,C45,distribuidor
2025-02-21,P10,hilo,254,5.97,C38,online
2025-02-10,P3,tela,131,3.82,C123,online
2024-01-22,P7,botón,291,3.94,C189,tienda física
2024-10-21,P5,botón,197,15.51,C161,tienda física
2023-09-20,P6,botón,268,22.69,C16,online
2024-11-03,P10,hilo,165,20.76,C151,distribuidor
2023-07-02,P1,tela,60,16.79,C198,online
2024-11-16,P10,hilo,50,8.75,C121,distribuidor
2025-03-12,P11,cierres,33,20.25,C200,distribuidor
2024-07-17,P5,botón,127,27.19,C29,tienda física
2025-05-27,P3,tela,243,8.12,C129,distribuidor
2024-02-01,P1,tela,300,6.83,C140,online
2024-12-10,P11,cierres,57,13.23,C177,distribuidor
2023-11-11,P5,botón,183,4.92,C121,tienda física
2024-03-14,P5,botón,222,28.18,C92,distribuidor
2024-12-30,P8,hilo,55,23.87,C59,online
2023-12-30,P1,tela,230,26.73,C127,distribuidor
2024-09-10,P12,cierres,39,6.05,C47,online
2024-02-29,P4,tela,110,6.78,C111,tienda física
2024-03-21,P4,tela,292,29.91,C77,distribuidor
2023-10-21,P2,tela,300,13.16,C172,tienda física
2023-11-13,P14,encaje,47,19.46,C70,online
2024-12-28,P7,botón,179,23.82,C130,distribuidor
2025-02-07,P13,encaje,130,11.48,C192,online
2025-03-07,P12,cierres,290,20.36,C44,online
2023-06-23,P1,tela,66,22.9,C107,online
2025-03-25,P7,botón,80,2.94,C129,online
2024-06-26,P14,encaje,278,7.49,C61,distribuidor
2024-10-12,P14,encaje,144,2.76,C104,distribuidor
2023-07-28,P11,cierres,51,18.88,C181,tienda física
2023-11-26,P12,cierres,230,12.25,C151,tienda física
2023-11-29,P12,cierres,300,23.79,C192,tienda física
2024-03-09,P9,hilo,107,15.64,C147,online
2023-10-01,P8,hilo,65,28.59,C8,distribuidor
2023-09-30,P7,botón,293,22.93,C45,online
2024-11-17,P10,hilo,221,0.8,C49,distribuidor
2025-05-05,P1,tela,198,5.84,C48,distribuidor
2025-03-09,P14,encaje,24,20.94,C29,online
2025-02-28,P2,tela,104,24.43,C143,tienda física
2025-05-14,P9,hilo,288,9.84,C36,online
2024-10-15,P1,tela,181,25.5,C157,online
2024-04-06,P7,botón,232,28.65,C81,distribuidor
2024-01-01,P10,hilo,167,6.79,C196,tienda física
2024-02-26,P8,hilo,212,1.09,C97,tienda física
2024-10-23,P4,tela,283,19.65,C31,tienda física
2023-11-26,P11,cierres,278,2.14,C72,online
2023-09-22,P12,cierres,73,2.37,C57,tienda física
2025-05-28,P11,cierres,202,1.61,C161,online
2024-05-12,P9,hilo,261,25.03,C172,distribuidor
2024-06-30,P2,tela,16,1.35,C136,tienda física
2023-08-23,P12,cierres,81,2.2,C35,online
2024-09-04,P5,botón,247,14.01,C161,tienda física
2024-06-08,P8,hilo,195,8.46,C12,distribuidor
2024-07-01,P5,botón,229,24.02,C199,tienda física
2023-08-25,P12,cierres,173,12.45,C95,distribuidor
2023-11-19,P10,hilo,177,22.74,C179,tienda física
2023-06-23,P14,encaje,299,20.22,C6,online
2023-06-24,P3,tela,291,27.28,C98,online
2023-10-26,P4,tela,45,17.03,C171,tienda física
2024-10-29,P8,hilo,246,22.16,C104,distribuidor
2023-10-03,P5,botón,131,11.13,C46,distribuidor
2024-05-31,P1,tela,3,26.74,C189,tienda física
2023-10-18,P4,tela,168,15.81,C69,distribuidor
2025-05-15,P2,tela,177,3.34,C30,tienda física
2024-11-07,P6,botón,160,7.32,C66,distribuidor
2025-01-24,P2,tela,65,26.86,C112,tienda física
2024-12-01,P2,tela,11,2.62,C192,distribuidor
2023-07-19,P7,botón,234,29.57,C194,distribuidor
2025-01-26,P8,hilo,47,27.34,C167,tienda física
2023-07-28,P1,tela,224,14.12,C145,tienda física
2023-09-07,P9,hilo,183,16.11,C198,tienda física
2023-07-05,P2,tela,149,0.48,C101,online
2024-01-16,P1,tela,200,16.76,C31,tienda física
2023-12-10,P11,cierres,97,1.3,C17,online
2024-10-03,P13,encaje,161,20.23,C175,distribuidor
2024-08-22,P9,hilo,206,11.42,C23,online
2024-03-14,P6,botón,23,22.8,C32,distribuidor
2023-09-28,P11,cierres,201,17.95,C175,distribuidor
2023-11-03,P8,hilo,237,5.58,C123,tienda física
2024-02-23,P9,hilo,208,6.1,C74,tienda física
2023-09-05,P5,botón,7,7.38,C187,online
2024-07-26,P6,botón,9,20.66,C38,online
2023-11-12,P5,botón,23,4.47,C39,online
2025-03-09,P11,cierres,125,20.94,C79,online
2024-04-21,P3,tela,79,16.83,C159,tienda física
2024-08-15,P10,hilo,210,0.63,C195,tienda física
2023-09-22,P2,tela,102,9.67,C41,distribuidor
2023-09-20,P13,encaje,248,18.07,C146,distribuidor
2024-01-27,P8,hilo,157,19.4,C67,online
2023-09-04,P3,tela,162,4.19,C83,tienda física
2024-07-10,P3,tela,210,2.38,C196,distribuidor
2023-11-21,P8,hilo,206,24.29,C65,distribuidor
2023-11-25,P1,tela,82,26.82,C72,online
2024-11-18,P12,cierres,95,7.53,C117,online
2023-09-19,P12,cierres,104,17.86,C180,tienda física
2024-11-24,P3,tela,54,14.84,C84,online
2023-07-29,P3,tela,139,19.55,C10,tienda física
2023-12-16,P14,encaje,31,17.27,C107,online
2025-01-05,P4,tela,191,15.13,C190,online
2023-07-12,P5,botón,134,14.05,C4,tienda física
2023-12-18,P8,hilo,187,10.41,C37,online
2025-03-02,P2,tela,287,10.9,C48,distribuidor
2024-04-11,P10,hilo,145,17.1,C10,distribuidor
2023-07-30,P10,hilo,281,22.29,C37,online
2024-11-15,P13,encaje,271,6.36,C127,tienda física
2024-09-18,P7,botón,44,11.39,C200,tienda física
2024-12-23,P12,cierres,25,29.3,C158,online
2023-10-31,P5,botón,192,20.92,C35,distribuidor
2025-04-02,P5,botón,194,22.6,C80,distribuidor
2024-05-30,P13,encaje,10,16.21,C74,online
2023-08-22,P12,cierres,203,28.26,C28,online
2023-07-02,P1,tela,282,23.72,C28,distribuidor
2024-07-09,P10,hilo,186,14.28,C166,online
2025-04-08,P1,tela,170,23.98,C114,online
2024-01-12,P2,tela,10,1.7,C136,tienda física
2023-10-04,P12,cierres,220,23.09,C87,distribuidor
2023-06-25,P3,tela,235,11.24,C22,distribuidor
2025-04-03,P4,tela,272,4.88,C71,online
2024-02-13,P6,botón,78,29.41,C137,distribuidor
2024-02-21,P5,botón,124,21.0,C67,tienda física
2024-01-27,P13,encaje,71,2.77,C87,distribuidor
2024-03-10,P3,tela,137,23.47,C127,online
2024-11-16,P11,cierres,224,7.68,C58,tienda física
2024-04-26,P11,cierres,155,12.12,C22,distribuidor
2023-10-06,P1,tela,110,11.83,C15,distribuidor
2025-04-05,P4,tela,285,23.35,C43,tienda física
2023-08-14,P13,encaje,293,3.78,C10,distribuidor
2025-01-26,P10,hilo,143,11.52,C72,online
2023-08-21,P6,botón,173,2.81,C100,tienda física
2024-09-05,P8,hilo,55,20.21,C188,online
2024-06-05,P7,botón,132,0.74,C89,online
2024-05-16,P9,hilo,208,4.62,C100,online
2023-11-16,P3,tela,282,8.99,C70,tienda física
2024-08-07,P11,cierres,153,21.85,C143,distribuidor
2024-11-05,P9,hilo,83,18.71,C189,tienda física
2025-02-18,P14,encaje,145,25.64,C16,distribuidor
2024-01-22,P4,tela,279,4.65,C199,online
2025-02-14,P8,hilo,289,21.47,C133,online
2023-07-29,P10,hilo,245,2.62,C84,tienda física
2024-03-06,P4,tela,279,5.42,C190,tienda física
2024-03-06,P12,cierres,210,26.82,C37,tienda física
2024-04-01,P1,tela,186,8.45,C95,online
2025-05-16,P6,botón,255,15.99,C31,online
2024-09-10,P2,tela,80,23.03,C42,tienda física
2023-11-27,P7,botón,36,7.3,C92,distribuidor
2025-05-07,P12,cierres,91,28.27,C48,distribuidor
2024-05-08,P8,hilo,69,9.71,C161,distribuidor
2023-12-02,P12,cierres,110,25.92,C193,distribuidor
2024-12-18,P8,hilo,191,19.54,C96,online
2025-01-27,P2,tela,11,5.46,C178,tienda física
2023-11-25,P8,hilo,78,24.84,C183,online
2024-12-21,P2,tela,145,12.18,C146,tienda física
2025-05-23,P6,botón,76,5.25,C31,online
2023-11-10,P7,botón,191,20.47,C128,distribuidor
2024-09-06,P11,cierres,276,6.06,C175,tienda física
2023-12-05,P4,tela,45,20.11,C133,tienda física
2023-07-12,P7,botón,84,20.75,C146,online
2024-10-30,P4,tela,203,18.47,C157,tienda física
2025-03-22,P11,cierres,79,14.8,C63,tienda física
2024-03-07,P7,botón,218,25.22,C198,online
2023-10-26,P7,botón,208,14.4,C37,online
2024-06-20,P5,botón,210,21.76,C6,tienda física
2025-01-26,P3,tela,127,15.63,C162,distribuidor
2024-11-12,P2,tela,132,14.37,C114,distribuidor
2024-02-23,P7,botón,31,9.87,C169,tienda física
2024-06-11,P11,cierres,188,3.69,C55,distribuidor
2024-01-27,P10,hilo,27,19.43,C111,online
2024-01-30,P5,botón,264,26.44,C3,online
2024-01-30,P12,cierres,243,3.36,C32,tienda física
2024-10-28,P3,tela,277,2.64,C26,online
2025-04-17,P7,botón,38,26.68,C195,tienda física
2023-10-05,P8,hilo,172,4.72,C17,tienda física
2024-10-20,P7,botón,9,10.56,C123,online
2025-01-10,P1,tela,39,13.27,C160,distribuidor
2024-08-14,P2,tela,39,25.12,C113,tienda física
2024-12-07,P10,hilo,87,19.97,C67,online
2024-03-15,P10,hilo,210,28.61,C21,tienda física
2023-09-12,P11,cierres,3,14.28,C49,online
2025-05-15,P8,hilo,188,9.72,C137,online
2023-07-01,P13,encaje,124,21.8,C110,tienda física
2023-09-07,P3,tela,92,21.19,C116,distribuidor
2024-09-17,P8,hilo,38,28.13,C59,distribuidor
2024-09-28,P2,tela,195,4.56,C173,online
2024-09-14,P8,hilo,83,19.05,C177,distribuidor
2023-12-28,P3,tela,163,16.53,C26,online
2025-01-30,P10,hilo,18,7.04,C81,online
2023-08-31,P9,hilo,158,8.1,C61,tienda física
2025-04-11,P13,encaje,14,1.17,C16,tienda física
2025-05-15,P5,botón,93,23.9,C11,tienda física
2024-11-26,P7,botón,180,20.25,C6,online
2025-04-12,P10,hilo,281,7.35,C114,online
2023-06-25,P3,tela,46,23.02,C73,tienda física
2023-12-02,P11,cierres,7,27.67,C128,distribuidor
2025-03-19,P6,botón,95,6.11,C122,distribuidor
2024-05-27,P5,botón,86,20.83,C102,tienda física
2025-03-17,P9,hilo,247,2.68,C113,tienda física
2024-12-19,P8,hilo,224,13.52,C108,online
2025-03-10,P2,tela,4,18.8,C18,online
2023-11-15,P2,tela,48,4.85,C19,distribuidor
2023-10-07,P11,cierres,88,6.42,C186,tienda física
2024-07-29,P2,tela,277,8.47,C41,distribuidor
2023-07-16,P14,encaje,27,20.38,C186,tienda física
2024-07-04,P10,hilo,228,1.09,C55,online
2024-11-12,P10,hilo,213,10.75,C108,distribuidor
2024-09-10,P12,cierres,205,27.44,C68,tienda física
2023-07-01,P13,encaje,96,5.44,C45,distribuidor
2024-12-26,P1,tela,68,29.59,C155,online
2025-01-10,P11,cierres,125,5.26,C120,online
2024-09-27,P14,encaje,112,13.68,C48,online
2024-09-30,P6,botón,132,4.5,C114,online
2023-07-02,P9,hilo,236,3.29,C70,online
2023-07-10,P9,hilo,103,20.37,C142,online
2023-07-31,P13,encaje,288,25.36,C25,tienda física
2024-06-28,P9,hilo,286,24.75,C129,tienda física
2023-12-22,P5,botón,156,10.32,C148,distribuidor
2023-10-15,P1,tela,286,0.27,C107,distribuidor
2023-11-27,P1,tela,154,7.81,C42,distribuidor
2023-09-28,P3,tela,188,14.9,C134,distribuidor
2024-04-09,P12,cierres,16,28.41,C74,tienda física
2024-04-19,P7,botón,221,8.13,C61,distribuidor
2023-07-15,P2,tela,104,29.88,C175,distribuidor
2025-03-26,P4,tela,184,1.97,C160,tienda física
2025-01-17,P7,botón,9,14.11,C197,online
2023-09-16,P12,cierres,222,4.97,C47,distribuidor
2024-12-31,P6,botón,91,16.95,C38,distribuidor
2025-04-26,P11,cierres,56,15.42,C24,online
2025-03-12,P8,hilo,159,25.39,C117,distribuidor
2024-08-19,P11,cierres,186,18.55,C158,online
2024-06-08,P2,tela,57,3.09,C92,distribuidor
2025-04-19,P5,botón,135,19.69,C46,tienda física
2024-10-10,P10,hilo,104,25.08,C149,distribuidor
2023-12-03,P4,tela,220,15.68,C9,tienda física
2025-03-29,P3,tela,37,21.18,C63,tienda física
2023-12-07,P11,cierres,232,28.64,C67,online
2024-09-15,P12,cierres,13,1.75,C176,online
2024-08-31,P8,hilo,69,12.95,C141,tienda física
2023-08-14,P12,cierres,117,14.44,C2,tienda física
2023-09-18,P9,hilo,43,17.24,C132,distribuidor
2024-07-09,P13,encaje,195,25.51,C29,online
2025-01-08,P7,botón,161,22.66,C75,distribuidor
2024-08-04,P6,botón,123,2.05,C93,online
2024-06-17,P3,tela,14,2.18,C131,online
2023-12-30,P1,tela,231,25.94,C135,online
2024-10-14,P8,hilo,116,22.6,C58,online
2025-03-27,P14,encaje,200,18.73,C119,online
2024-05-27,P12,cierres,242,16.03,C159,tienda física
2024-01-29,P1,tela,2,27.23,C182,distribuidor
2024-12-09,P8,hilo,158,26.54,C133,online
2024-12-03,P12,cierres,131,16.19,C74,tienda física
2024-11-25,P4,tela,174,8.69,C1,tienda física
2025-03-18,P5,botón,33,4.21,C182,online
2024-07-25,P9,hilo,112,5.94,C178,tienda física
2023-08-20,P14,encaje,146,15.85,C156,distribuidor
2023-12-24,P13,encaje,10,7.43,C132,tienda física
2023-07-09,P7,botón,115,25.13,C200,online
2023-07-15,P12,cierres,79,4.88,C30,tienda física
2024-08-09,P6,botón,133,18.2,C19,tienda física
2024-04-15,P2,tela,126,8.83,C93,distribuidor
2023-07-08,P11,cierres,231,29.87,C103,online
2023-08-08,P12,cierres,205,15.78,C25,tienda física
2023-10-31,P7,botón,291,18.55,C160,online
2024-03-24,P5,botón,201,13.59,C121,online
2024-04-16,P2,tela,169,6.14,C50,tienda física
2025-04-09,P4,tela,5,7.1,C57,distribuidor
2025-05-03,P10,hilo,141,0.77,C40,distribuidor
2024-07-12,P10,hilo,270,11.27,C89,tienda física
2023-08-16,P6,botón,284,8.76,C135,online
2024-01-13,P9,hilo,142,20.02,C30,online
2025-03-18,P5,botón,125,16.73,C142,distribuidor
2023-10-25,P14,encaje,195,17.01,C148,tienda física
2024-01-31,P12,cierres,73,17.23,C85,online
2024-10-17,P7,botón,232,3.7,C69,distribuidor
2024-07-16,P6,botón,221,25.37,C82,distribuidor
2024-08-21,P8,hilo,140,25.85,C169,online
2023-10-01,P14,encaje,44,11.7,C187,online
2024-11-10,P7,botón,217,14.34,C90,distribuidor
2025-04-05,P9,hilo,251,29.65,C114,distribuidor
2024-11-27,P10,hilo,63,10.8,C48,online
2025-04-22,P1,tela,123,17.62,C137,distribuidor
2023-11-01,P11,cierres,233,24.78,C92,tienda física
2025-04-14,P9,hilo,47,21.79,C7,online
2025-04-03,P8,hilo,275,18.56,C86,online
2024-09-08,P10,hilo,94,12.62,C26,online
2024-08-08,P11,cierres,239,21.11,C110,online
2025-04-19,P3,tela,265,6.87,C50,distribuidor
2023-12-09,P1,tela,191,21.85,C148,online
2024-08-10,P11,cierres,85,13.33,C188,online
2025-04-10,P12,cierres,284,14.53,C65,online
2024-02-01,P4,tela,188,2.51,C60,tienda física
2023-10-09,P4,tela,62,10.4,C53,online
2023-07-26,P8,hilo,273,21.08,C1,online
2023-09-16,P13,encaje,222,11.41,C122,online
2025-02-18,P10,hilo,205,16.77,C27,distribuidor
2024-03-31,P1,tela,256,17.58,C194,distribuidor
2023-10-18,P11,cierres,271,16.93,C79,tienda física
2024-04-16,P7,botón,104,20.69,C126,online
2025-02-17,P9,hilo,134,7.67,C57,tienda física
2023-12-28,P4,tela,154,12.6,C65,online
2024-03-15,P2,tela,159,16.5,C163,distribuidor
2024-01-03,P8,hilo,130,8.99,C194,distribuidor
2023-09-01,P1,tela,17,0.44,C174,distribuidor
2024-03-08,P8,hilo,95,29.49,C12,distribuidor
2024-06-15,P9,hilo,116,29.81,C84,tienda física
2023-07-25,P10,hilo,268,0.99,C112,tienda física
2025-03-23,P13,encaje,103,5.9,C113,tienda física
2024-11-28,P6,botón,115,17.22,C21,tienda física
2024-12-13,P4,tela,117,12.54,C56,distribuidor
2024-01-17,P14,encaje,252,20.37,C129,distribuidor
2024-05-07,P14,encaje,153,16.28,C121,distribuidor
2025-01-03,P7,botón,161,6.15,C156,tienda física
2025-05-05,P3,tela,48,15.81,C132,online
2024-03-14,P8,hilo,228,7.56,C124,tienda física
2024-01-01,P9,hilo,134,27.53,C45,tienda física
2023-11-16,P9,hilo,162,2.73,C97,online
2023-06-20,P3,tela,233,0.95,C143,online
2023-12-27,P5,botón,99,15.09,C107,distribuidor
2024-10-22,P7,botón,60,5.32,C195,tienda física
2024-05-05,P9,hilo,137,26.9,C71,distribuidor
