producto_id,costo_unitario,precio_venta_unitario,cantidad_vendida,fecha_venta
P11,2.22,11.41,45,2024-11-07
P7,0.23,3.78,362,2024-01-25
P11,13.56,28.16,162,2024-12-27
P7,3.88,6.65,374,2024-01-29
P12,14.65,23.04,498,2025-03-23
P11,13.72,27.96,244,2024-04-18
P13,6.25,16.67,173,2025-03-05
P13,6.07,14.38,477,2024-12-10
P1,17.22,19.89,348,2025-04-04
P14,19.43,31.06,352,2025-04-01
P14,7.61,12.35,143,2024-02-26
P7,19.52,30.11,331,2025-03-23
P13,17.64,19.12,462,2024-12-27
P9,19.35,27.3,244,2025-05-21
P12,17.56,22.47,114,2023-10-28
P2,10.17,11.88,251,2024-09-15
P12,11.45,22.36,466,2025-03-11
P7,9.73,19.75,458,2023-08-14
P9,6.08,14.23,399,2024-09-11
P5,18.96,20.51,95,2024-09-12
P5,14.76,20.41,137,2024-03-19
P1,18.55,31.23,256,2025-03-09
P6,8.07,21.66,459,2024-08-09
P13,12.85,18.69,324,2024-05-30
P10,1.24,11.03,405,2023-09-19
P3,19.21,26.47,274,2024-09-02
P1,9.85,21.59,309,2024-11-03
P2,1.09,9.35,322,2025-04-08
P9,15.8,16.39,329,2024-03-11
P14,18.67,20.57,25,2023-12-03
P14,5.76,8.71,310,2023-09-10
P8,2.7,5.12,281,2024-03-17
P7,11.8,22.35,197,2023-11-17
P14,10.73,20.6,152,2025-03-15
P9,18.04,27.27,318,2025-02-08
P6,2.46,12.9,350,2023-09-01
P2,18.12,30.2,216,2023-07-15
P12,0.39,12.3,363,2025-02-09
P10,0.06,10.42,341,2023-07-25
P2,1.04,14.92,287,2024-10-23
P5,0.2,4.3,464,2024-06-05
P6,2.24,9.13,9,2023-08-24
P1,0.35,9.83,252,2025-01-03
P11,16.72,24.1,137,2024-02-05
P1,6.73,9.33,116,2024-04-24
P4,12.3,25.42,144,2025-04-24
P14,14.89,19.45,264,2023-07-13
P1,6.0,13.39,163,2023-08-09
P5,14.92,29.39,447,2023-09-03
P3,14.63,19.06,1,2024-09-21
P1,19.85,27.52,32,2023-10-28
P3,2.3,15.67,442,2025-02-07
P5,9.35,20.27,142,2024-02-05
P4,16.62,22.57,92,2023-07-05
P10,17.24,22.71,97,2023-10-30
P3,15.54,25.89,403,2023-09-12
P14,17.48,31.71,178,2024-10-13
P7,5.67,13.6,400,2023-10-27
P2,0.06,12.97,249,2023-09-23
P8,16.13,28.62,24,2023-12-28
P6,4.76,16.63,62,2023-08-09
P3,0.75,8.9,371,2023-07-06
P14,10.97,24.75,376,2023-08-22
P6,11.44,24.85,482,2024-12-14
P12,5.31,17.94,59,2024-06-09
P14,16.52,23.39,183,2023-08-23
P6,1.81,5.03,33,2024-08-26
P8,11.15,11.8,120,2024-01-19
P14,8.75,16.19,442,2024-09-26
P12,19.17,33.96,372,2023-08-11
P2,14.58,29.33,35,2025-04-07
P14,3.27,5.05,180,2024-09-26
P12,9.28,10.3,143,2025-04-23
P8,2.6,10.43,440,2024-05-22
P10,14.19,21.37,409,2024-03-30
P3,16.02,28.25,284,2024-11-25
P9,19.97,31.36,410,2024-05-02
P9,8.04,12.09,279,2024-01-05
P4,12.59,14.37,115,2023-08-12
P9,11.95,17.5,113,2024-05-22
P5,4.11,11.42,429,2024-10-24
P14,8.79,15.92,467,2024-12-23
P5,3.0,15.28,38,2025-05-25
P11,9.9,23.92,279,2024-09-06
P7,4.79,8.65,436,2024-01-16
P14,7.16,21.25,348,2024-02-27
P6,7.24,13.73,358,2024-11-24
P10,3.16,10.96,233,2023-11-23
P7,11.85,17.58,358,2023-07-16
P4,16.78,27.93,336,2023-07-10
P5,4.94,7.49,199,2024-05-31
P5,3.15,10.71,173,2024-05-25
P3,5.0,18.44,127,2023-10-19
P3,2.59,9.87,179,2023-07-29
P10,4.4,16.35,363,2023-07-29
P5,11.27,16.66,470,2023-08-14
P9,14.11,17.48,416,2025-03-22
P10,17.14,25.52,457,2024-12-26
P13,11.37,18.77,369,2024-06-22
P2,11.35,24.37,176,2025-03-18
P1,6.16,9.9,456,2024-08-24
P3,14.42,29.33,477,2024-12-20
P5,17.37,31.9,307,2024-06-23
P10,9.74,21.32,69,2024-07-12
P11,11.45,19.56,240,2024-03-08
P9,8.48,21.73,10,2025-05-12
P4,6.72,13.76,48,2024-12-11
P5,5.89,12.55,209,2023-12-22
P8,1.45,13.59,343,2023-12-27
P1,6.5,12.28,331,2024-10-09
P6,2.56,7.15,143,2024-09-17
P1,2.73,14.1,241,2024-05-19
P9,18.81,31.7,135,2023-09-29
P9,5.11,12.66,140,2024-11-18
P2,8.65,21.34,25,2023-09-12
P10,16.44,17.37,375,2025-04-16
P4,13.62,24.66,468,2025-01-11
P14,8.65,17.58,62,2024-07-27
P2,16.24,25.85,339,2024-08-29
P4,19.16,27.67,485,2024-08-08
P7,8.25,16.27,318,2023-10-27
P9,18.09,32.21,394,2023-12-10
P6,8.72,13.2,92,2024-10-24
P1,6.72,8.69,181,2025-03-11
P2,7.36,21.29,348,2024-11-10
P6,14.01,28.11,250,2023-07-24
P13,18.12,19.95,419,2023-09-15
P6,7.65,20.48,176,2025-01-31
P5,2.56,11.11,462,2024-04-27
P14,16.52,30.53,231,2025-05-15
P12,12.83,20.66,265,2025-02-21
P8,17.25,23.32,109,2025-04-20
P1,5.44,10.27,137,2024-02-26
P4,19.8,27.3,20,2024-06-30
P7,15.98,19.16,34,2025-02-24
P6,5.7,11.69,285,2023-12-01
P13,11.46,19.64,491,2024-01-16
P4,1.63,9.13,274,2024-08-31
P14,18.43,24.3,187,2023-06-19
P7,11.5,18.06,120,2024-12-04
P13,5.8,20.18,421,2024-05-04
P14,19.97,24.19,462,2024-06-03
P6,1.99,13.98,261,2023-10-05
P5,12.08,14.85,458,2023-06-22
P7,0.39,4.66,104,2025-02-03
P9,0.43,11.22,489,2023-11-04
P2,5.77,12.09,244,2023-12-24
P13,18.5,24.88,34,2024-10-19
P6,16.37,29.44,244,2023-10-14
P2,4.64,18.23,399,2025-04-03
P5,17.19,30.49,49,2023-08-22
P3,8.35,20.73,54,2023-10-22
P4,0.46,1.16,464,2023-12-29
P9,9.24,15.48,432,2023-06-28
P14,9.05,20.58,238,2024-06-29
P13,10.52,25.47,37,2024-06-12
P13,0.39,6.61,452,2023-06-22
P6,10.99,13.02,334,2025-04-09
P9,15.14,28.15,252,2024-03-07
P11,4.42,10.99,436,2023-12-12
P5,6.15,19.33,313,2023-11-30
P6,1.55,3.63,421,2023-09-05
P13,1.15,13.8,214,2025-03-29
P10,3.29,14.24,181,2024-08-11
P8,1.85,5.04,390,2024-09-04
P9,7.36,11.1,336,2024-12-21
P8,1.37,6.2,73,2023-06-18
P8,16.94,28.01,121,2023-09-26
P10,5.47,9.82,405,2025-01-31
P2,9.26,9.89,30,2024-10-16
P5,10.98,22.01,322,2024-03-02
P10,5.77,19.52,424,2024-03-20
P6,18.82,28.27,22,2024-07-30
P5,17.07,25.17,287,2023-10-25
P14,12.52,18.85,463,2025-01-28
P9,12.37,14.49,181,2025-03-02
P5,12.59,26.27,471,2025-04-01
P9,5.49,11.56,207,2023-11-28
P4,2.92,17.71,470,2024-11-05
P4,10.64,15.93,24,2024-10-05
P2,4.61,18.54,56,2023-09-11
P12,16.51,26.05,193,2024-03-05
P2,1.81,14.36,101,2023-08-27
P3,4.41,14.12,147,2024-10-28
P5,11.16,22.58,22,2024-08-12
P4,18.43,28.68,323,2023-07-01
P7,12.95,15.75,241,2023-08-08
P11,5.97,12.23,33,2025-03-16
P1,1.73,6.34,139,2023-11-16
P11,2.68,8.49,85,2024-09-09
P3,3.86,15.21,472,2023-07-21
P11,4.97,16.24,120,2023-09-05
P12,0.08,5.77,132,2024-02-16
P9,13.68,25.95,92,2025-02-27
P6,18.22,19.28,112,2024-03-29
P5,13.71,20.46,52,2023-09-05
P7,8.87,15.01,42,2025-03-23
P7,16.71,19.17,80,2025-03-13
P11,6.73,16.92,369,2024-09-26
P3,0.44,1.52,42,2024-10-09
P6,6.98,14.96,257,2023-12-27
P4,4.59,8.7,239,2025-03-30
P4,1.22,13.11,50,2023-09-06
P14,17.06,18.27,260,2024-03-13
P5,14.26,16.82,149,2023-10-19
P13,19.71,24.8,423,2025-01-06
P8,10.22,11.6,248,2023-11-28
P4,0.07,5.32,392,2024-10-14
P9,9.53,12.68,6,2023-09-20
P1,8.48,11.51,445,2024-03-27
P6,16.0,23.42,269,2025-05-28
P6,11.37,20.19,304,2023-10-19
P13,0.99,2.52,12,2023-11-03
P8,7.88,12.58,83,2025-03-20
P6,4.13,11.4,413,2024-07-08
P3,7.54,16.09,110,2023-07-05
P7,15.91,24.61,453,2025-04-29
P9,5.79,19.54,281,2025-01-05
P14,3.43,14.14,46,2024-12-09
P4,7.63,11.05,328,2023-11-03
P9,1.59,12.2,66,2024-10-15
P10,15.51,25.89,140,2023-08-28
P11,19.27,20.02,298,2025-03-30
P11,1.7,15.0,358,2023-07-30
P13,14.4,16.45,305,2025-05-18
P6,11.43,22.56,389,2023-09-07
P6,2.52,10.11,5,2024-11-11
P4,10.68,16.99,384,2023-06-20
P8,12.05,26.28,227,2024-09-26
P2,18.14,26.95,26,2024-02-22
P12,18.28,31.14,114,2023-11-07
P12,12.48,21.52,136,2024-10-03
P14,7.3,13.33,219,2025-03-30
P12,16.74,22.02,471,2024-08-26
P1,18.05,20.61,456,2024-11-10
P12,16.5,23.1,486,2024-01-20
P5,0.97,11.97,202,2025-05-17
P5,13.8,26.82,232,2025-01-18
P3,0.48,4.99,500,2024-01-18
P4,11.55,15.84,41,2024-08-09
P2,10.19,21.67,166,2024-07-21
P13,19.32,23.68,462,2023-06-18
P3,1.22,3.98,305,2024-12-24
P2,12.56,16.06,194,2023-10-07
P4,7.09,14.92,324,2024-05-06
P1,6.87,13.88,36,2023-10-08
P2,17.21,28.45,373,2024-10-02
P7,9.73,21.27,131,2024-02-07
P7,8.38,21.4,484,2024-02-22
P5,13.73,25.96,107,2025-02-16
P4,10.73,11.76,265,2025-03-15
P8,1.1,13.22,281,2023-11-13
P14,9.67,11.46,193,2024-01-11
P5,4.48,10.74,154,2023-12-03
P2,8.74,20.77,476,2024-08-17
P10,19.06,32.08,1,2023-08-09
P13,19.53,27.56,380,2024-05-10
P3,11.18,18.7,389,2024-12-02
P7,12.13,13.27,150,2025-02-21
P12,10.39,22.26,125,2025-05-15
P13,1.52,7.01,381,2024-07-04
P1,10.48,12.47,80,2024-01-25
P12,4.73,8.68,344,2023-10-15
P1,8.31,8.89,136,2024-07-17
P13,9.02,12.49,35,2024-04-28
P3,19.27,32.27,393,2024-04-30
P2,7.42,18.04,434,2024-02-06
P1,14.27,18.72,19,2023-10-16
P6,0.1,10.75,180,2023-12-13
P5,2.2,5.41,243,2024-08-11
P8,7.4,17.24,277,2024-11-03
P13,11.99,21.5,250,2023-09-03
P5,1.64,6.71,349,2024-11-07
P8,14.48,22.28,139,2023-07-24
P8,9.12,11.15,18,2025-04-29
P12,6.57,16.82,285,2025-03-15
P7,16.25,28.53,134,2025-04-28
P5,14.4,26.69,149,2024-04-30
P3,14.67,18.82,225,2023-09-03
P13,5.74,15.63,250,2023-07-23
P10,6.4,15.93,228,2023-06-23
P4,10.98,19.53,380,2023-10-09
P13,17.25,18.8,168,2023-11-17
P13,12.77,22.69,1,2025-02-17
P10,18.46,21.8,205,2025-01-17
P4,12.98,21.72,488,2023-09-05
P3,11.0,25.02,396,2023-09-21
P13,14.99,23.21,416,2024-10-10
P13,1.01,8.99,97,2024-01-16
P5,15.67,19.98,263,2025-03-26
P4,5.16,14.8,143,2023-10-30
P13,7.0,20.65,291,2023-10-07
P13,13.05,21.16,1,2025-03-10
P13,1.91,11.68,398,2023-08-23
P1,18.24,20.91,366,2024-10-23
P13,5.63,17.8,485,2025-01-22
P6,14.85,28.1,439,2023-10-02
P6,15.04,16.39,194,2024-05-21
P14,3.05,5.58,295,2023-07-09
P2,1.56,13.85,69,2024-09-02
P13,0.32,3.34,176,2024-11-14
P4,0.45,5.78,375,2025-03-13
P9,10.93,25.42,284,2024-03-13
P5,3.87,11.73,168,2024-09-30
P7,15.5,23.02,49,2023-07-09
P4,18.43,23.98,263,2024-02-13
P8,11.64,24.13,383,2024-05-23
P13,3.15,9.75,484,2024-03-23
P10,15.88,21.12,471,2024-07-14
P13,19.0,32.4,151,2024-07-19
P14,17.3,18.06,484,2024-10-28
P3,6.86,9.97,264,2025-05-15
P7,3.36,4.59,315,2023-10-10
P9,19.07,20.78,163,2023-12-05
P9,2.41,10.15,492,2024-09-26
P1,13.24,25.54,414,2025-04-13
P13,1.9,10.66,359,2024-01-23
P8,5.12,8.13,88,2024-01-29
P14,11.05,22.94,179,2023-10-04
P13,12.92,17.3,107,2024-12-02
P12,18.19,26.09,437,2023-06-17
P6,17.99,31.94,49,2024-03-28
P8,10.15,21.53,173,2023-12-16
P7,6.16,10.39,57,2024-12-04
P1,14.86,27.12,281,2025-03-26
P9,3.47,14.14,214,2024-03-07
P5,9.71,22.99,28,2024-04-30
P8,17.28,29.27,263,2024-08-23
P4,19.96,22.2,374,2024-08-17
P14,11.72,18.52,213,2024-06-29
P13,5.39,16.14,112,2023-06-25
P2,12.12,25.46,218,2025-04-24
P4,19.96,20.62,495,2025-02-06
P9,3.47,5.2,87,2024-08-07
P8,17.27,26.53,211,2025-05-17
P12,10.86,19.52,202,2023-07-04
P8,4.71,15.06,497,2025-04-12
P3,8.27,22.88,27,2024-10-05
P7,17.32,31.46,429,2024-12-03
P11,7.28,18.69,451,2025-04-26
P8,1.06,6.73,185,2024-09-07
P13,4.69,7.73,99,2023-11-20
P7,5.66,16.21,402,2025-04-26
P12,17.31,21.43,156,2024-09-05
P7,19.17,32.1,416,2024-03-13
P9,10.16,24.08,235,2024-01-02
P8,8.83,17.75,307,2024-01-26
P6,4.03,15.92,440,2025-05-31
P4,8.98,22.24,350,2023-12-18
P7,0.68,7.89,281,2023-07-06
P7,15.64,23.45,256,2023-12-28
P14,4.5,8.64,89,2025-05-25
P2,16.78,25.16,350,2024-11-19
P2,1.62,15.37,300,2025-05-26
P2,11.29,18.78,352,2024-03-10
P11,2.73,11.95,434,2023-12-23
P13,19.83,28.45,235,2024-10-28
P4,10.0,19.65,477,2024-05-11
P1,4.85,17.71,280,2024-07-26
P8,17.9,29.47,76,2023-09-02
P10,0.84,5.91,497,2025-03-14
P12,3.19,8.88,384,2025-03-05
P13,11.25,16.0,148,2025-05-05
P13,11.03,18.37,445,2025-03-29
P12,0.85,1.66,8,2024-12-14
P3,9.8,20.18,204,2024-09-21
P1,10.34,13.87,121,2025-04-12
P13,4.83,18.58,492,2024-12-26
P5,0.16,14.72,442,2025-01-23
P9,6.19,15.03,428,2025-02-07
P6,16.38,31.12,50,2025-04-17
P13,16.16,18.63,455,2025-02-16
P4,8.49,17.89,161,2024-03-15
P11,13.21,22.17,184,2025-04-01
P10,1.61,7.3,228,2025-04-21
P6,9.05,13.29,209,2023-07-04
P3,8.82,19.82,392,2024-02-22
P5,19.93,22.74,393,2023-07-03
P14,13.17,21.62,55,2023-08-21
P5,4.71,7.58,122,2024-02-14
P6,9.26,16.97,254,2024-10-22
P11,3.05,11.62,244,2023-06-23
P9,13.92,16.29,282,2023-10-04
P4,9.68,17.55,486,2024-10-19
P7,17.94,29.78,25,2025-01-24
P5,13.54,26.44,333,2023-07-30
P4,0.88,15.59,49,2025-02-05
P8,13.78,28.41,206,2023-12-07
P5,8.12,13.8,110,2025-01-11
P13,18.58,30.46,448,2024-11-29
P2,0.47,4.54,196,2024-07-15
P3,6.08,14.38,334,2023-08-06
P5,1.5,7.7,8,2025-02-04
P13,10.3,23.12,481,2024-08-03
P6,8.44,18.81,325,2024-02-08
P1,15.77,19.66,478,2024-06-18
P3,6.3,7.54,46,2024-10-23
P13,6.55,21.01,496,2024-05-21
P6,4.89,18.36,449,2025-05-02
P10,3.15,18.08,93,2025-03-11
P9,19.95,34.35,423,2023-12-20
P14,16.76,24.8,137,2023-06-17
P8,3.19,14.87,320,2024-02-17
P7,13.78,26.51,463,2025-05-14
P5,10.51,14.23,463,2024-09-24
P4,4.7,7.76,485,2023-07-04
P5,8.22,17.69,137,2025-05-21
P6,17.39,25.09,75,2024-06-20
P13,9.2,14.23,24,2025-01-17
P3,12.22,21.2,196,2025-01-17
P13,12.75,17.63,432,2025-04-23
P6,18.03,32.59,412,2023-10-16
P10,1.38,10.67,370,2024-02-28
P1,1.25,2.11,372,2023-09-14
P5,4.66,8.88,442,2025-04-05
P14,7.82,14.5,64,2023-08-07
P3,16.09,19.43,2,2024-04-27
P8,12.13,16.44,62,2023-11-06
P7,15.55,20.3,444,2024-04-06
P12,16.45,19.07,301,2023-10-08
P10,7.38,15.66,169,2023-11-15
P3,17.39,29.7,486,2023-10-02
P1,8.04,10.17,226,2023-07-09
P10,4.01,17.28,333,2024-01-09
P8,10.12,11.1,324,2023-07-08
P3,19.76,32.08,495,2023-09-22
P11,1.44,4.65,360,2024-08-29
P6,13.66,28.47,243,2025-01-04
P11,5.32,19.68,430,2025-04-24
P7,11.96,22.6,264,2024-04-06
P5,17.97,23.01,249,2023-07-30
P7,9.09,9.68,306,2024-07-13
P10,18.47,26.85,156,2024-11-29
P4,1.15,3.19,171,2023-10-17
P12,12.97,19.55,63,2024-06-19
P1,16.17,18.04,395,2023-12-31
P2,16.76,25.68,390,2023-07-04
P11,7.29,13.14,430,2023-10-10
P5,3.73,11.34,358,2024-02-15
P6,16.31,19.64,30,2024-10-09
P13,10.94,23.21,217,2024-03-19
P2,10.23,16.35,53,2024-05-28
P1,13.4,14.5,357,2025-02-28
P1,19.66,33.91,335,2024-09-07
P14,17.38,20.67,468,2025-04-27
P8,7.23,14.93,320,2023-09-05
P10,4.24,14.42,313,2024-04-07
P7,11.23,22.08,104,2025-05-30
P3,9.26,11.46,247,2025-03-16
P6,7.32,20.3,271,2023-10-20
P6,1.9,3.84,61,2023-11-08
P6,2.54,4.9,469,2024-11-10
P4,6.64,13.78,351,2024-07-13
P1,0.58,6.75,118,2024-01-21
P7,13.8,14.57,272,2023-08-08
P5,15.31,21.22,336,2023-09-12
P4,18.03,28.37,466,2024-05-30
P13,15.68,17.32,411,2023-09-28
P6,16.57,28.1,459,2024-05-20
P7,18.02,28.59,497,2024-09-28
P5,5.02,19.89,461,2023-11-25
P10,3.39,4.8,170,2025-01-08
P11,18.05,24.6,183,2023-06-16
P8,13.73,21.37,500,2023-12-22
P14,5.93,17.06,29,2024-07-26
P7,1.63,11.11,78,2024-10-29
P2,2.39,7.3,194,2023-08-09
P6,11.11,15.49,200,2025-04-26
P6,16.02,21.07,200,2024-06-22
P7,9.33,20.48,415,2024-05-10
P11,14.0,16.46,477,2024-07-24
P11,13.02,21.52,143,2024-03-10
P1,3.47,13.0,98,2025-03-01
P5,14.06,16.01,494,2024-10-30
P6,17.85,20.55,62,2024-08-13
P13,6.53,16.19,98,2024-07-31
P8,2.5,4.15,287,2023-12-03
P11,10.13,14.11,328,2023-10-28
P10,10.96,14.09,254,2024-10-06
P13,7.6,19.46,72,2023-09-05
P2,16.13,24.88,97,2024-01-08
P8,4.51,7.4,376,2025-03-03
P12,2.82,5.0,91,2024-05-04
P13,4.04,14.78,230,2023-07-02
P12,16.36,19.5,209,2024-10-01
P11,5.09,15.17,257,2024-10-08
P6,3.75,5.82,36,2023-09-11
P2,12.87,26.09,215,2024-11-27
P2,14.21,24.18,418,2023-10-01
P2,14.44,21.65,459,2024-09-10
P3,19.29,19.79,67,2023-10-28
P3,19.24,21.64,5,2024-06-05
P1,9.52,14.59,475,2025-05-27
P13,7.5,21.05,185,2023-11-09
P12,3.04,4.8,255,2024-12-07
P9,11.83,25.53,16,2023-12-25
P4,12.23,14.78,409,2023-08-22
P1,15.1,23.83,498,2024-08-11
P13,0.29,9.12,12,2024-03-27
P11,16.97,29.83,314,2024-10-03
P7,13.6,26.76,329,2025-03-18
P3,15.82,29.47,278,2025-04-15
P14,17.04,31.82,311,2024-01-22
P6,19.72,23.88,92,2025-03-04
P5,17.41,26.74,78,2025-02-04
P3,9.88,23.6,156,2023-09-26
P12,15.88,28.09,36,2024-11-29
P13,4.86,11.38,363,2024-08-16
P12,18.64,19.49,326,2025-04-12
P13,4.25,10.22,177,2024-02-23
P8,6.3,11.14,355,2024-12-13
P3,14.83,15.99,272,2024-06-24
P8,10.0,22.25,288,2023-07-17
P8,12.81,15.77,282,2023-08-14
P8,2.83,6.05,35,2023-08-12
P6,9.77,13.12,267,2023-09-20
P7,13.65,18.85,38,2025-04-12
P1,2.34,3.52,496,2023-11-23
P12,1.81,11.53,244,2023-10-09
P10,0.93,11.81,46,2024-10-03
P12,14.83,20.73,312,2023-06-20
P4,5.49,12.74,469,2023-08-22
P6,14.89,23.63,421,2024-04-18
P4,8.32,9.88,4,2025-04-01
P7,16.37,18.12,386,2023-08-25
P13,6.79,8.36,41,2025-01-22
P9,16.67,24.7,102,2025-04-30
P11,0.07,12.03,34,2023-11-19
P14,10.03,11.68,413,2024-12-09
P6,8.16,16.81,29,2024-06-07
P14,8.53,10.45,385,2023-08-31
P9,17.3,18.3,372,2024-01-17
P6,3.15,6.72,434,2024-09-09
P12,10.01,11.02,199,2023-09-11
P4,11.58,18.88,281,2024-03-28
P1,6.37,18.83,257,2023-10-12
P6,8.7,20.48,119,2025-01-30
P2,1.6,5.15,162,2023-07-04
P2,7.88,18.46,356,2024-01-24
P14,14.73,16.3,288,2024-07-12
P14,13.72,25.16,156,2024-07-04
P8,14.62,24.73,66,2025-05-31
P6,12.98,23.98,247,2025-01-27
P8,10.57,13.61,158,2023-10-14
P2,3.54,11.9,309,2023-11-21
P11,2.5,3.27,413,2024-02-25
P5,6.8,21.62,102,2024-09-04
P3,6.4,18.59,327,2024-03-12
P3,15.66,24.98,3,2024-06-30
P8,0.7,10.56,13,2023-08-13
P2,3.45,6.19,279,2024-03-24
P5,8.78,12.42,366,2024-06-06
P14,13.07,23.19,458,2025-04-25
P6,4.85,8.58,317,2023-10-11
P6,16.99,29.82,78,2024-12-25
P4,2.85,4.77,464,2024-08-08
P2,15.74,28.5,75,2024-03-23
P14,3.99,5.19,468,2024-01-24
P12,1.81,6.47,75,2023-12-25
P6,6.44,18.37,296,2025-03-30
P5,10.22,15.46,237,2024-10-21
P13,11.56,19.35,435,2025-03-03
P13,8.41,22.43,417,2023-12-09
P5,3.89,13.95,394,2023-10-10
P8,3.41,8.37,378,2024-02-02
P9,0.27,6.44,77,2024-12-20
P14,17.14,29.29,486,2023-10-30
P5,6.08,9.31,97,2023-06-18
P6,17.28,17.85,2,2024-04-22
P5,8.15,21.14,13,2024-08-12
P6,16.51,24.3,343,2023-08-06
P7,1.78,2.73,464,2024-11-15
P11,14.2,25.81,334,2024-02-17
P4,15.14,19.78,218,2023-09-10
P11,10.08,14.9,421,2023-07-30
P12,13.24,13.82,105,2024-03-23
P7,7.42,15.1,18,2023-09-13
P6,7.55,11.57,169,2024-07-19
P5,13.04,26.65,60,2024-06-21
P9,19.83,21.43,156,2023-07-14
P10,18.51,29.31,274,2024-02-11
P13,4.6,18.23,306,2024-02-02
P6,7.36,18.55,314,2024-08-01
P12,10.06,15.97,142,2025-04-09
P11,10.32,10.97,408,2023-07-02
P3,11.53,19.76,96,2024-02-12
P14,15.62,22.46,23,2023-07-30
P2,3.04,10.73,114,2024-03-28
P6,10.7,19.33,405,2023-09-16
P9,1.13,10.57,338,2024-04-13
P12,8.67,14.96,420,2024-06-04
P12,9.12,9.97,209,2025-03-09
P6,8.49,12.61,132,2024-08-22
P6,13.44,17.44,21,2024-05-05
P8,18.32,23.41,489,2023-10-07
P2,8.88,21.59,257,2024-01-23
P6,2.89,15.05,489,2024-11-01
P5,8.66,17.75,123,2024-11-26
P14,15.6,29.16,463,2024-03-02
P9,7.31,20.21,227,2024-10-07
P14,14.63,23.91,41,2024-04-28
P9,13.17,28.17,231,2024-05-06
P7,4.84,15.29,429,2025-05-15
P3,5.55,17.02,121,2024-09-03
P10,17.43,24.92,131,2024-10-04
P9,6.86,21.36,99,2024-01-21
P3,5.71,15.06,223,2025-02-13
P12,9.46,21.79,453,2023-10-12
P14,17.53,32.04,439,2023-08-23
P12,8.35,21.92,108,2024-06-05
P11,14.01,26.36,32,2025-03-24
P12,18.06,22.22,382,2023-09-24
P6,9.31,13.36,410,2024-10-31
P7,11.31,25.32,336,2023-10-22
P9,15.52,20.43,282,2024-09-25
P11,3.91,11.39,309,2025-04-07
P13,7.83,14.79,379,2023-07-03
P3,1.91,13.53,83,2024-02-05
P4,5.68,11.03,71,2024-10-01
P11,6.46,9.01,130,2023-08-23
P5,4.83,10.72,448,2024-11-20
P12,0.69,11.62,277,2024-10-21
P9,14.84,20.27,475,2024-08-05
P5,16.84,20.97,393,2024-04-06
P6,14.98,19.29,5,2025-04-26
